author,comments,country,crawled,domain_rank,language,likes,main_image,ord_in_thread,participants_count,published,replies_count,section_title,shares,site,spam_score,text,title,type,uuid
Stefanos Chen,0,US,2017-06-07T19:42:54.002+03:00,387.0,english,355,https://si.wsj.net/public/resources/images/BN-TT463_1677No_TOP_20170607103702.jpg,0,1,2017-06-07T19:42:54.002+03:00,0,WSJ.com: Lifestyle,355,wsj.com,0.0,"A just-finished 12,000-square-foot, modernist home in the exclusive Doheny Estates of Los Angeles will list for $44 million.
The home, a glassy, three-level spread with five bedrooms and eight bathrooms, sits on a 0.8-acre bluff overlooking the ocean, according to listing agent Paul Lester of the Agency. The stone, glass and wood facade includes a “moat” water feature with fire pits that surround part of the structure.
The... ",Glassy Los Angeles Home Seeks $44 Million - WSJ,normal,1677f40aafa459dc039b7f5805b664d2a9765b44
Associated Press,0,US,2017-06-07T19:48:14.000+03:00,478.0,english,843,http://media2.s-nbcnews.com/i/newscms/2017_23/2028891/aptopix_utah_shooting_13721-jpg-458ba_6fdde0907d8b4271d445d3e26cbe1a2f.jpg,0,0,2017-06-07T19:48:14.000+03:00,0,,843,nbcnews.com,0.231,"SANDY, Utah — Utah investigators and stunned residents of a middle-class Salt Lake City suburb are trying to understand what led a man to open fire on a woman and children inside a car, leaving the woman, a boy and the man himself dead and two other children injured.
Police went out to the area in Sandy, Utah, after getting a 911 call Tuesday afternoon about a domestic disturbance, said police Sgt. Jason Nielsen.
They found a bullet-ridden car with smashed windows and blood in the middle of a street next to a second car that police say the suspect used as a ram to stop the first car from leaving the neighborhood. An unidentified woman was driving the car in which the victims' were found. Police say she picked up the woman and two juveniles in a car acting as a ""good Samaritan.""
Police found the man, a woman and a boy dead, and a boy and girl injured from gunshot wounds. Nielsen did not have details about the kids' ages and identities or the name and whereabouts of the woman who picked them up. That woman who Nielsen called a ""good Samaritan"" survived, he said.
The injured boy was hospitalized in critical condition. A girl was hospitalized in stable condition.
Investigators were still trying to confirm details about the relationships of those involved.
Nielsen did not immediately know if the gunman killed himself or if someone else involved in the dispute had a gun.
The shooting occurred in the quiet neighborhood with winding roads, nestled against mountains about 20 miles southeast of Salt Lake City. It took place about a half a mile from an elementary school after students had just left for the day.
It was unclear if any children still at the school witnessed the shooting or heard gunshots, Canyons School District spokesman Jeff Haney said.
Resident Colby Corbett was in his backyard waiting for his 8-year-old son to walk home from school when he heard 20 to 30 gunshots within a few seconds.
""I was panicking bad,"" Corbett said. ""I thought it was like a gun battle.""
Corbett said he was relieved when his son arrived soon after, coming from the school and in the opposite direction of the gunfire. His son, Anthony, said he wasn't worried because he thought the gunshots were fireworks.
Ridge Workman, a 14-year-old boy who lives several hundred yards away from the shooting, said he heard seven to eight gunshots and also thought they were fireworks. When he went outside, he saw a car in the street riddled with bullet holes, its windows smashed in and blood nearby.
He called his mother and told her that what was strange was how ""eerily silent"" it was at the scene.","Sandy, Utah Shooting: Mom, Young Son Dead After Gunman Opens Fire on Car - NBC News",normal,b6cdc79d109fcd6b1e5d88d0e6542d88ff6ed888
Jason Douglas,0,US,2017-06-07T19:48:19.002+03:00,387.0,english,93,https://si.wsj.net/public/resources/images/BN-TT440_35RUQ_TOP_20170607094918.jpg,0,1,2017-06-07T18:28:00.000+03:00,0,WSJ.com: World News,93,wsj.com,0.0,"Britons go to the polls on Thursday to cast their vote in an uncertain election, with pollsters agreeing only on one thing: that the commanding lead enjoyed by the Conservative Party of Prime Minister Theresa May has shrunk dramatically during the six-week campaign.
Just as this election has tested Mrs. May’s leadership, so it is testing Britain’s polling firms. 

Opinion polls published by a dozen or so firms in the final days...  ",U.K. Election: Testing Times for Pollsters Who Got It So Wrong Last Time,normal,3365bcc27dce4bbd109ac26fa1e86141202a5a99
Jun 7th 2017 twitter icon,0,US,2017-06-07T19:49:45.013+03:00,1742.0,english,0,https://cdn.static-economist.com/assets/the-economist-logo.png,0,1,2017-06-07T08:00:00.000+03:00,0,Computer Technology,0,economist.com,0.0,"Companies are striving to control an evolving digital infrastructure that will guide everything from self-driving cars to drones. Veteran investor Bill Janeway explains the parallels between artificial intelligence and electricity. Also, a Braille-controlled camera system offers an efficient way to guide the blind
 21 21 ",Babbage: Podcast: Battle of the maps,normal,68e9e96232d8c8bad016e98ceca7ac9299a33bef
Kremilek2,0,US,2017-06-07T19:49:46.029+03:00,1742.0,english,0,https://cdn.static-economist.com/sites/default/files/images/print-edition/20170603_WBD002_0.jpg,1,2,2017-06-01T22:45:00.000+03:00,1,Computer Technology,0,economist.com,0.0,I guess that it is not so much surprising that China tries to get access to the state-of-the-art technology by all means and control how the data about its citizen and companies are stored.,Technology governance: China’s new cyber-security law is worryingly vague,normal,55c5d1ef7f18fbe238a23c2f38ef7b4888581f2c
,0,US,2017-06-07T19:50:50.000+03:00,584.0,english,6,http://cbsnews1.cbsistatic.com/hub/i/2016/11/01/af01ec91-fbe6-4a9a-bfb3-a9363856da09/gettyimages-610064558.jpg,0,0,2017-06-07T19:50:50.000+03:00,0,Entertainment - CBSNews.com,6,cbsnews.com,0.0,"By Ned Ehrbar CBS News June 7, 2017, 12:42 PM U2 adds 12 more dates to Joshua Tree tour 
Bono U2 performs with U2 at the 2016 iHeartRadio Music Festival on September 23, 2016 in Las Vegas, Nevada. Kevin Winter/Getty Images U2 delayed new album because of Donald Trump's victory 
The Irish rock band has extended its current Joshua Tree tour for an extra two months, with 12 additional shows added in North and South America, the band announced Wednesday. The tour was originally set to wrap up August 1. 
The 30th anniversary celebration of the band's seminal album ""The Joshua Tree"" kicked off last month and had previously been announced to run until Aug. 1. 
The tour will now take August off and then resume on Sept. 3 in Detroit. In October, the band will head to Mexico, Colombia, Argentina, Chile and Brazil before bringing the tour to a close on Oct. 19. 
Outspoken former Oasis front-man Noel Gallagher will open for U2 on the tour's South American dates with his band, High Flying Birds. 
Additional ""Joshua Tree"" tour dates: 
Sep 3: Detroit, Michigan -- Ford FieldSep 5: Buffalo, New York -- New Era FieldSep 8: Minneapolis, Minnesota -- US Bank StadiumSep 10: Indianapolis, Indiana -- Lucas Oil StadiumSep 12: Kansas City, Missouri -- Arrowhead StadiumSep 16: St. Louis, Missouri -- The Dome At America's CenterSep 22: San Diego, California -- Qualcomm StadiumOct 3: Mexico City, Mexico -- Foro SolOct 7: Bogota, Colombia -- Estadio El CampinOct 10: Buenos Aires -- Argentina La PlataOct 14: Santiago, Chile -- Estadio NacionalOct 19: Sao Paulo, Brazil -- Morumbi Stadium © 2017 CBS Interactive Inc. All Rights Reserved.",U2 adds 12 more dates to Joshua Tree tour,normal,170784110a6d09b113b15fc6a8ccee5dd2f93a2a
pbs.org,0,US,2017-06-07T19:51:31.004+03:00,1044.0,english,617,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/05/RTX36APV.jpg,0,1,2017-06-07T03:00:00.000+03:00,0,PBS NewsHour,617,pbs.org,0.0,"WASHINGTON – President Donald Trump is set to promote his plans for a $1 trillion overhaul of the nation’s crumbling roads, bridges and waterways during a speech along the Ohio River.
As the White House tries to push past a series of distractions and focus on Trump’s legislative agenda, the president was scheduled to travel to the Rivertowne Marina in Cincinnati on Wednesday. His speech was expected to make the case for efforts to repair aging levees, dams, locks and ports, as well as his larger public works aims.
During the visit, the president also planned to make remarks on the pending health law overhaul in Congress.
The White House has yet to detail specifics of the plan, which it hopes to achieve largely through public-private partnerships. It has proposed funding the improvements with $200 billion in tax breaks over nine years that would â in theory â leverage $1 trillion worth of construction.
The speech comes a day before former FBI Director James Comey is set to testify in front of Congress and as the White House faces new allegations about possible efforts by the president to influence the investigation into potential ties between his campaign and Russia. Trump has denied the allegations and called the Russia story “fake news.”
Trump, in a tweet early Wednesday, announced his pick for FBI director â Christopher Wray, a former Justice Department official who served as New Jersey Gov. Chris Christie’s personal lawyer during the George Washington Bridge lane-closing investigation.
U.S. inland waterways are critical routes for transporting agricultural products, but officials say they’ve grown old and run down.
The White House has billed this “infrastructure week” and planned a series of events, beginning with a push by the president Monday to privatize the nation’s air traffic control system and separate it from the Federal Aviation Administration.
The president planned to host governors and mayors at the White House on Thursday to discuss the efficient use of tax dollars for infrastructure projects.
While infrastructure was initially seen as an area where Republican and Democrats could work together, Democrats have balked at Trump’s plans for financing improvements, arguing they would result in taxpayer-funded corporate profits, with costs offloaded on consumers.
Mike Toohey, president of the Waterways Council Inc, an inland waterways infrastructure advocacy group, said he was pleased to see the president addressing what he called the “silent r” of the transportation system â rivers. Far more attention is usually paid to roadways, railways and runways, he said.
Still, he said the industry is concerned about Trump’s recent budget proposal, which he said could result in higher costs for the commercial users that finance the waterways’ upkeep.
As a candidate, Trump had promised to invest big money in Cincinnati’s infrastructure, including Interstate 71 and the overcrowded Brent Spence Bridge.
During a campaign stop in Wilmington Ohio last year, Trump said he would redirect billions of dollars in payments to the United Nations to combat climate change and “use that money to invest in America,” including replacing the double-decker bridge.
  American Health Care Act Donald Trump health care infrastructure PREVIOUS POST Nevada bill would require insulin makers to post profits NEXT POST What’s at stake in the UK elections?  ","WATCH LIVE: Trump to address infrastructure, health care in Ohio",normal,4fbee5a3c838ede0b150861d50f667be4478d17c
pbs.org,0,US,2017-06-07T19:51:33.002+03:00,1044.0,english,581,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/06/RTX2SQP7.jpg,0,3,2017-06-07T03:00:00.000+03:00,2,PBS NewsHour,581,pbs.org,0.0,"A Novo Nordisk employee controls a machine at an insulin production line in a plant in Kalundborg, Denmark November 4, 2013. REUTERS/Fabian Bimmer/File Photo
Patients notched a rare win over the pharmaceutical industry Monday when the Nevada Legislature revived a bill requiring insulin makers to disclose the profits they make on the life-sustaining drug. In a handful of other states , bills addressing drug prices have stalled.
Many of the 1.25 million Americans who live with Type 1 diabetes cheered the legislative effort in Nevada as an important first step in their fight against skyrocketing costs of a drug on which their lives depend. The cost of insulin medications has steadily risen over the past decade by nearly 300 percent .
Prominent patient advocacy groups, like the American Diabetes Association, have maintained stony silence while diabetes patients championed the bill and lobbied the legislature during this debate — a silence that patients and experts say stems from financial ties.
Many of the dozens of U.S. diabetes advocacy organizations, large and small, garner significant portions of their funding from insulin manufacturers. “Normally all of the patient advocacy groups rally around causes and piggyback on each other in a productive way — that’s what advocacy groups are good at — but that hasn’t been the case here,” said Thom Scher, chief operating officer of Beyond Type 1, which does not accept donations from the pharmaceutical industry. Beyond Type 1 has not issued a formal opinion on the Nevada bill.
Many of the dozens of U.S. diabetes advocacy organizations, large and small, garner significant portions of their funding from insulin manufacturers. The Nevada bill also requires such organizations operating in-state to disclose all contributions they receive from the pharmaceutical industry to discourage that sort of conflict.
In 2016, two of the “big three” insulin producers — Eli Lilly and Sanofi — contributed at least $4.7 million to such national patient advocacy groups as the American Diabetes Association, Diabetes Patient Advocacy Coalition (DPAC), JDRF International and the Diabetes Hands Foundation, according to company disclosures. The third major insulin manufacturer, Novo Nordisk, does not disclose its charitable contributions.
The advocacy groups have taken no position on the Nevada legislation. Generally speaking, their advocacy focuses on pressuring insurers to pay the price of insulin, not protesting price rises.
Local diabetes groups, hardly free from conflicts with the pharmaceutical industry, have also stayed on the sidelines.
The Nevada Diabetes Association for Children and Adults officially issued a neutral opinion.
“The Nevada Diabetes Association supports regulations on medications. The problem with SB 265 is that it is not just regulating medication but the industry.” “The Nevada Diabetes Association supports regulations on medications. The problem with SB 265 is that it is not just regulating medication but the industry,” said Executive Director Sarah Gleich.
The nonprofit does not list its fiscal sponsors on its website or most recent 990 tax form.
“We disclose what we have received, and the IRS does not require that we publicly publish from whom,” Gleich said. “No one is giving out their invitation list to the party.”
Gleich said the Nevada Diabetes Association receives table sponsorships and supplies for camp programs from the pharmaceutical industry but “nothing that would make a dent on the budget.” Auditing non-monetary donations in order to meet the bill’s transparency requirement would be burdensome, Gleich said.
Membership dues accounted for only about $6,000 of the group’s $320,000 in revenue last year , according to its latest tax form.
The American Diabetes Association — which operates a Nevada chapter — accepted at least $3.9 million from Eli Lilly and Sanofi last year.
“The American Diabetes Association believes that no individual in need of lifesaving medications such as insulin should ever go without due to prohibitive costs,” Michelle Kirkwood, its director of strategic communications and media relations, said in a statement. She would not say whether the nonprofit supports the bill.
“… no individual in need of lifesaving medications such as insulin should ever go without due to prohibitive costs.” Former American Diabetes Association president Larry Hausner wrote an op-ed in the Nevada Appeal opposing the legislation. “Caring for people with diabetes involves more than what they pay for insulin or another medication,” Hausner wrote. “As a lifelong patient advocate, I know Nevadans expect more out of their elected officials.” Hausner, now the president of a consulting and public affairs firm, serves on the board of directors of Research!America, a nonprofit promoting increased federal funding for public health research, alongside Sanofi’s president of global research & development, Elias Zerhouni.
The Diabetes Hands Foundation expressed neutrality on the bill. “This state priority in Nevada is a good step towards a larger conversation about the costs of chronic care conditions like diabetes,” said the foundation’s director of advocacy, Mandy Jones. “But it’s hard to know the particular outcome of this particular bill in the U.S. market.”
JDRF International would not comment. DPAC deferred questions to the National Diabetes Volunteer Leadership Council.
Against the backdrop of silence from these patient advocacy groups, a community of diabetes patients on Twitter elevated the bill’s profile around the hashtag #insulin4all, created by T1International, a group in the United Kingdom that does not accept pharmaceutical donations.
“People feel frustrated. At the federal level, we’re not being seen because there’s so much going on politically,” said Erin Gilmer, a Colorado advocate with Type 1 diabetes. “It might have to be a state-by-state movement.”
Sen. Yvanna Cancela, who sponsored the bill, said she believed requiring diabetes advocacy groups to reveal their sources of funding was key to understanding their positions and bringing prices down. “I believe there should be transparency across the health care system,” Cancela said.
Gov. Brian Sandoval said Monday night that he intends to sign the bill , according to a Nevada Independent reporter. If the governor takes no action, the transparency rules become law. The bill, SB539, incorporates provisions of an earlier bill approved by the legislature but vetoed by Sandoval. Sponsors stripped a controversial provision that would have required insulin manufacturers to warn patients 90 days before raising prices, which stoked concerns about drug stockpiling, the Associated Press reported Monday .
“There should be more focus on the one thing we need to survive. … Without insulin, I die a horrendous death in 12 to 24 hours.” The Nevada bill “is definitely a step in the right direction,” said Elizabeth Rowley, founder and director of T1International. “Almost anything requiring more transparency is incredibly important right now, especially at a time when almost all diabetes patient advocacy groups take funding from drug and device companies.”
Laura Marston, an advocate in Washington, D.C., with Type 1 diabetes, said that there is plenty of grass-roots support for legislation on insulin prices but that advocacy organizations are not listening to the right people.
“There should be more focus on the one thing we need to survive. … Without insulin, I die a horrendous death in 12 to 24 hours,” Marston said. “No grass-roots support? There’s desperation.”
This story was published by Kaiser Health News, an editorially independent program of the Henry J. Kaiser Family Foundation and a nonprofit, nonpartisan health policy research and communication organization not affiliated with Kaiser Permanente. You can view the original report on its website . 
  chronic illness diabetes insulin Nevada pharmaceutical industry PREVIOUS POST Intel officials won’t publicly discuss private conversations with Trump NEXT POST WATCH: Trump to address infrastructure, health care in Ohio  ",Nevada bill would require insulin makers to post profits,normal,61ef79a422b3aa31181cb3d402ce43c142ae1e09
owl905,0,US,2017-06-07T19:51:33.004+03:00,1044.0,english,0,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/06/RTX2SQP7.jpg,2,3,2017-06-07T03:00:00.000+03:00,2,PBS NewsHour,0,pbs.org,0.0,Too funny,Nevada bill would require insulin makers to post profits,normal,7d9e1cfd67611b0c70ab033afcb42509d52b009d
Pasquino,0,US,2017-06-07T19:51:33.005+03:00,1044.0,english,0,http://d3i6fh83elv35t.cloudfront.net/newshour/wp-content/uploads/2017/06/RTX2SQP7.jpg,1,3,2017-06-07T03:00:00.000+03:00,2,PBS NewsHour,0,pbs.org,0.0,"Because, for some reason, you just can't read their annual balance sheet, income statement, and statement of changes in financial position?",Nevada bill would require insulin makers to post profits,normal,de4728b8299b7cd74e7ab2e41c30afe7880e15a7
